Source,Edge,Target
Person26,Attends,Daily Standup26
Person26,MemberOf,Project26
Person26,ParticipatesIn,Marketing Campaign26
Person26,Follows,Code Review26
Person26,Maintains,Budget Approval26
Person26,InterfacesWith,ERP26
Person26,InteractsWith,Regulators26
Person26,ContributesTo,Innovate Products26
Person26,Requires,Analysis
Person26,MentoredBy,Representative5
Person26,ReportsTo,Manager26
Person26,Has,Analysis
Budget Approval26,ProcessOf,Customer Onboarding26
Improve Efficiency26,Supports,Increase Sales10
New Product Launch26,Enables,Increase Sales26
Marketing Campaign26,Sub,Customer Onboarding5
Regulators26,BelongsTo,Vendors49
Coordinator26,CoachedBy,Analyst30
Person27,Owns,Coordinator27
Coordinator27,FunctionOf,ENGINEERING
Person27,AccountableFor,Improve Efficiency27
Person27,ResponsibleFor,Better Customer Ratings27
Person27,Attends,Monthly Planning27
Person27,MemberOf,Innovation27
Person27,ParticipatesIn,Marketing Campaign27
Person27,Follows,Budget Approval27
Person27,Maintains,Budget Approval27
Person27,InterfacesWith,Ticketing System27
Person27,InteractsWith,Regulators27
Person27,ContributesTo,Innovate Products27
Person27,Requires,Analysis
Person27,MentoredBy,Engineer34
Person27,ReportsTo,Manager6
Person27,Has,Problem Solving
Code Review27,ProcessOf,Supply Chain27
Enhance Customer Satisfaction27,Supports,Increase Sales30
New Product Launch27,Enables,Reduce Costs27
Supply Chain27,Sub,Financial Reporting18
Shareholders27,BelongsTo,Clients37
Coordinator27,CoachedBy,Engineer38
Person28,Owns,Engineer28
Engineer28,FunctionOf,ENGINEERING
Person28,AccountableFor,Increase Sales28
Person28,ResponsibleFor,Cost Savings28
Person28,Attends,Quarterly Strategy28
Person28,MemberOf,Development28
Person28,ParticipatesIn,Customer Onboarding28
Person28,Follows,Budget Approval28
Person28,Maintains,Performance Evaluation28
Person28,InterfacesWith,CRM28
Person28,InteractsWith,Regulators28
Person28,ContributesTo,Enhance Customer Satisfaction28
Person28,Requires,Problem Solving
Person28,MentoredBy,Coordinator23
Person28,ReportsTo,Representative50
Person28,Has,Creativity
Risk Assessment28,ProcessOf,Agile Development28
Enhance Customer Satisfaction28,Supports,Enhance Customer Satisfaction13
Better Customer Ratings28,Enables,Innovate Products28
Marketing Campaign28,Sub,Agile Development8
Regulators28,BelongsTo,Shareholders50
Analyst28,CoachedBy,Analyst9
Person29,Owns,Specialist29
Specialist29,FunctionOf,GA
Person29,AccountableFor,Reduce Costs29
Person29,ResponsibleFor,Higher Revenue29
Person29,Attends,Daily Standup29
Person29,MemberOf,Development29
Person29,ParticipatesIn,Supply Chain29
Person29,Follows,Quality Assurance29
Person29,Maintains,Performance Evaluation29
Person29,InterfacesWith,Ticketing System29
Person29,InteractsWith,Partners29
Person29,ContributesTo,Enhance Customer Satisfaction29
Person29,Requires,Problem Solving
Person29,MentoredBy,Analyst7
Person29,ReportsTo,Engineer39
Person29,Has,Teamwork
Performance Evaluation29,ProcessOf,Marketing Campaign29
Innovate Products29,Supports,Reduce Costs27
New Product Launch29,Enables,Enhance Customer Satisfaction29
Agile Development29,Sub,Financial Reporting44
Vendors29,BelongsTo,Regulators28
Manager29,CoachedBy,Manager31
Person30,Owns,Representative30
Representative30,FunctionOf,SALES
Person30,AccountableFor,Increase Sales30
Person30,ResponsibleFor,Increased Productivity30
Person30,Attends,Quarterly Strategy30
Person30,MemberOf,Development30
Person30,ParticipatesIn,Financial Reporting30
Person30,Follows,Code Review30
Person30,Maintains,Budget Approval30
Person30,InterfacesWith,ERP30
Person30,InteractsWith,Partners30
Person30,ContributesTo,Increase Sales30
Person30,Requires,Problem Solving
Person30,MentoredBy,Director4
Person30,ReportsTo,Director39
Person30,Has,Creativity
Risk Assessment30,ProcessOf,Financial Reporting30
Increase Sales30,Supports,Improve Efficiency43
Better Customer Ratings30,Enables,Increase Sales30
Financial Reporting30,Sub,Customer Onboarding16
Clients30,BelongsTo,Clients20
Representative30,CoachedBy,Analyst48
Person31,Owns,Manager31
Manager31,FunctionOf,GA
Person31,AccountableFor,Reduce Costs31
Person31,ResponsibleFor,Cost Savings31
Person31,Attends,Annual Conference31
Person31,MemberOf,Development31
Person31,ParticipatesIn,Customer Onboarding31
Person31,Follows,Budget Approval31
Person31,Maintains,Budget Approval31
Person31,InterfacesWith,HRIS31
Person31,InteractsWith,Partners31
Person31,ContributesTo,Improve Efficiency31
Person31,Requires,Teamwork
Person31,MentoredBy,Analyst50
Person31,ReportsTo,Manager1
Person31,Has,Analysis
Quality Assurance31,ProcessOf,Agile Development31
Enhance Customer Satisfaction31,Supports,Reduce Costs25
Better Customer Ratings31,Enables,Improve Efficiency31
Financial Reporting31,Sub,Customer Onboarding14
Shareholders31,BelongsTo,Partners48
Engineer31,CoachedBy,Engineer6
Person32,Owns,Coordinator32
Coordinator32,FunctionOf,SALES
Person32,AccountableFor,Enhance Customer Satisfaction32
Person32,ResponsibleFor,Cost Savings32
Person32,Attends,Monthly Planning32
Person32,MemberOf,Support32
Person32,ParticipatesIn,Marketing Campaign32
Person32,Follows,Code Review32
Person32,Maintains,Performance Evaluation32
Person32,InterfacesWith,HRIS32
Person32,InteractsWith,Regulators32
Person32,ContributesTo,Increase Sales32
Person32,Requires,Problem Solving
Person32,MentoredBy,Representative18
Person32,ReportsTo,Analyst21
Person32,Has,Communication
Risk Assessment32,ProcessOf,Marketing Campaign32
Enhance Customer Satisfaction32,Supports,Increase Sales3
New Product Launch32,Enables,Improve Efficiency32
Marketing Campaign32,Sub,Customer Onboarding39
Partners32,BelongsTo,Regulators33
Coordinator32,CoachedBy,Coordinator3
Person33,Owns,Manager33
Manager33,FunctionOf,SALES
Person33,AccountableFor,Enhance Customer Satisfaction33
Person33,ResponsibleFor,Increased Productivity33
Person33,Attends,Daily Standup33
Person33,MemberOf,Project33
Person33,ParticipatesIn,Customer Onboarding33
Person33,Follows,Budget Approval33
Person33,Maintains,Quality Assurance33
Person33,InterfacesWith,CRM33
Person33,InteractsWith,Vendors33
Person33,ContributesTo,Enhance Customer Satisfaction33
Person33,Requires,Creativity
Person33,MentoredBy,Director7
Person33,ReportsTo,Director37
Person33,Has,Analysis
Performance Evaluation33,ProcessOf,Marketing Campaign33
Increase Sales33,Supports,Innovate Products26
Higher Revenue33,Enables,Reduce Costs33
Supply Chain33,Sub,Financial Reporting30
Clients33,BelongsTo,Vendors2
Director33,CoachedBy,Coordinator47
Person34,Owns,Analyst34
Analyst34,FunctionOf,GA
Person34,AccountableFor,Increase Sales34
Person34,ResponsibleFor,New Product Launch34
Person34,Attends,Quarterly Strategy34
Person34,MemberOf,Project34
Person34,ParticipatesIn,Supply Chain34
Person34,Follows,Code Review34
Person34,Maintains,Code Review34
Person34,InterfacesWith,CRM34
Person34,InteractsWith,Shareholders34
Person34,ContributesTo,Improve Efficiency34
Person34,Requires,Leadership
Person34,MentoredBy,Engineer45
Person34,ReportsTo,Manager11
Person34,Has,Creativity
Budget Approval34,ProcessOf,Supply Chain34
Enhance Customer Satisfaction34,Supports,Increase Sales5
Cost Savings34,Enables,Enhance Customer Satisfaction34
Marketing Campaign34,Sub,Financial Reporting46
Clients34,BelongsTo,Shareholders34
Representative34,CoachedBy,Manager41
Person35,Owns,Manager35
Manager35,FunctionOf,ENGINEERING
Person35,AccountableFor,Enhance Customer Satisfaction35
Person35,ResponsibleFor,Better Customer Ratings35
Person35,Attends,Annual Conference35
Person35,MemberOf,Development35
Person35,ParticipatesIn,Supply Chain35
Person35,Follows,Performance Evaluation35
Person35,Maintains,Code Review35
Person35,InterfacesWith,Project Management Tool35
Person35,InteractsWith,Regulators35
Person35,ContributesTo,Innovate Products35
Person35,Requires,Communication
Person35,MentoredBy,Representative13
Person35,ReportsTo,Coordinator3
Person35,Has,Communication
Code Review35,ProcessOf,Marketing Campaign35
Reduce Costs35,Supports,Increase Sales1
Cost Savings35,Enables,Innovate Products35
Financial Reporting35,Sub,Agile Development20
Vendors35,BelongsTo,Partners48
Analyst35,CoachedBy,Coordinator21
Person36,Owns,Specialist36
Specialist36,FunctionOf,GA
Person36,AccountableFor,Reduce Costs36
Person36,ResponsibleFor,Cost Savings36
Person36,Attends,Monthly Planning36
Person36,MemberOf,Development36
Person36,ParticipatesIn,Supply Chain36
Person36,Follows,Performance Evaluation36
Person36,Maintains,Performance Evaluation36
Person36,InterfacesWith,HRIS36
Person36,InteractsWith,Clients36
Person36,ContributesTo,Increase Sales36
Person36,Requires,Communication
Person36,MentoredBy,Engineer1
Person36,ReportsTo,Engineer10
Person36,Has,Analysis
Quality Assurance36,ProcessOf,Financial Reporting36
Enhance Customer Satisfaction36,Supports,Innovate Products27
Increased Productivity36,Enables,Improve Efficiency36
Agile Development36,Sub,Financial Reporting31
Regulators36,BelongsTo,Shareholders40
Specialist36,CoachedBy,Analyst29
Person37,Owns,Director37
Director37,FunctionOf,ENGINEERING
Person37,AccountableFor,Enhance Customer Satisfaction37
Person37,ResponsibleFor,Better Customer Ratings37
Person37,Attends,Daily Standup37
Person37,MemberOf,Development37
Person37,ParticipatesIn,Supply Chain37
Person37,Follows,Quality Assurance37
Person37,Maintains,Performance Evaluation37
Person37,InterfacesWith,Ticketing System37
Person37,InteractsWith,Vendors37
Person37,ContributesTo,Innovate Products37
Person37,Requires,Problem Solving
Person37,MentoredBy,Specialist16
Person37,ReportsTo,Engineer20
Person37,Has,Programming
Risk Assessment37,ProcessOf,Financial Reporting37
Enhance Customer Satisfaction37,Supports,Innovate Products5
Cost Savings37,Enables,Reduce Costs37
Financial Reporting37,Sub,Supply Chain26
Regulators37,BelongsTo,Regulators27
Representative37,CoachedBy,Director19
Person38,Owns,Analyst38
Analyst38,FunctionOf,SALES
Person38,AccountableFor,Innovate Products38
Person38,ResponsibleFor,Increased Productivity38
Person38,Attends,Weekly Review38
Person38,MemberOf,Leadership38
Person38,ParticipatesIn,Financial Reporting38
Person38,Follows,Risk Assessment38
Person38,Maintains,Budget Approval38
Person38,InterfacesWith,CRM38
Person38,InteractsWith,Vendors38
Person38,ContributesTo,Enhance Customer Satisfaction38
Person38,Requires,Programming
Person38,MentoredBy,Representative14
Person38,ReportsTo,Analyst8
Person38,Has,Communication
Code Review38,ProcessOf,Customer Onboarding38
Reduce Costs38,Supports,Enhance Customer Satisfaction48
New Product Launch38,Enables,Increase Sales38
Customer Onboarding38,Sub,Agile Development47
Partners38,BelongsTo,Clients41
Coordinator38,CoachedBy,Manager43
Person39,Owns,Representative39
Representative39,FunctionOf,GA
Person39,AccountableFor,Innovate Products39
Person39,ResponsibleFor,Better Customer Ratings39
Person39,Attends,Monthly Planning39
Person39,MemberOf,Development39
Person39,ParticipatesIn,Customer Onboarding39
Person39,Follows,Performance Evaluation39
Person39,Maintains,Risk Assessment39
Person39,InterfacesWith,Project Management Tool39
Person39,InteractsWith,Shareholders39
Person39,ContributesTo,Innovate Products39
Person39,Requires,Creativity
Person39,MentoredBy,Analyst12
Person39,ReportsTo,Analyst38
Person39,Has,Analysis
Performance Evaluation39,ProcessOf,Marketing Campaign39
Improve Efficiency39,Supports,Improve Efficiency45
Better Customer Ratings39,Enables,Increase Sales39
Supply Chain39,Sub,Customer Onboarding48
Shareholders39,BelongsTo,Partners43
Analyst39,CoachedBy,Manager4
Person40,Owns,Representative40
Representative40,FunctionOf,GA
Person40,AccountableFor,Increase Sales40
Person40,ResponsibleFor,Cost Savings40
Person40,Attends,Annual Conference40
Person40,MemberOf,Innovation40
Person40,ParticipatesIn,Agile Development40
Person40,Follows,Quality Assurance40
Person40,Maintains,Code Review40
Person40,InterfacesWith,ERP40
Person40,InteractsWith,Partners40
Person40,ContributesTo,Improve Efficiency40
Person40,Requires,Problem Solving
Person40,MentoredBy,Manager9
Person40,ReportsTo,Analyst27
Person40,Has,Programming
Performance Evaluation40,ProcessOf,Marketing Campaign40
Improve Efficiency40,Supports,Enhance Customer Satisfaction29
New Product Launch40,Enables,Enhance Customer Satisfaction40
Financial Reporting40,Sub,Agile Development9
Partners40,BelongsTo,Partners20
Representative40,CoachedBy,Representative50
Person41,Owns,Specialist41
Specialist41,FunctionOf,GA
Person41,AccountableFor,Reduce Costs41
Person41,ResponsibleFor,Increased Productivity41
Person41,Attends,Monthly Planning41
Person41,MemberOf,Innovation41
Person41,ParticipatesIn,Financial Reporting41
Person41,Follows,Quality Assurance41
Person41,Maintains,Performance Evaluation41
Person41,InterfacesWith,ERP41
Person41,InteractsWith,Regulators41
Person41,ContributesTo,Improve Efficiency41
Person41,Requires,Creativity
Person41,MentoredBy,Engineer22
Person41,ReportsTo,Coordinator22
Person41,Has,Problem Solving
Code Review41,ProcessOf,Agile Development41
Innovate Products41,Supports,Reduce Costs17
Increased Productivity41,Enables,Enhance Customer Satisfaction41
Supply Chain41,Sub,Supply Chain7
Clients41,BelongsTo,Shareholders27
Analyst41,CoachedBy,Specialist40
Person42,Owns,Representative42
Representative42,FunctionOf,ENGINEERING
Person42,AccountableFor,Innovate Products42
Person42,ResponsibleFor,Better Customer Ratings42
Person42,Attends,Weekly Review42
Person42,MemberOf,Development42
Person42,ParticipatesIn,Agile Development42
Person42,Follows,Code Review42
Person42,Maintains,Risk Assessment42
Person42,InterfacesWith,HRIS42
Person42,InteractsWith,Vendors42
Person42,ContributesTo,Increase Sales42
Person42,Requires,Creativity
Person42,MentoredBy,Coordinator10
Person42,ReportsTo,Coordinator42
Person42,Has,Analysis
Risk Assessment42,ProcessOf,Financial Reporting42
Innovate Products42,Supports,Improve Efficiency26
Higher Revenue42,Enables,Innovate Products42
Financial Reporting42,Sub,Agile Development15
Shareholders42,BelongsTo,Shareholders11
Director42,CoachedBy,Engineer43
Person43,Owns,Representative43
Representative43,FunctionOf,ENGINEERING
Person43,AccountableFor,Innovate Products43
Person43,ResponsibleFor,New Product Launch43
Person43,Attends,Annual Conference43
Person43,MemberOf,Development43
Person43,ParticipatesIn,Financial Reporting43
Person43,Follows,Code Review43
Person43,Maintains,Budget Approval43
Person43,InterfacesWith,CRM43
Person43,InteractsWith,Shareholders43
Person43,ContributesTo,Enhance Customer Satisfaction43
Person43,Requires,Creativity
Person43,MentoredBy,Manager2
Person43,ReportsTo,Director10
Person43,Has,Leadership
Quality Assurance43,ProcessOf,Customer Onboarding43
Innovate Products43,Supports,Reduce Costs38
Better Customer Ratings43,Enables,Enhance Customer Satisfaction43
Agile Development43,Sub,Financial Reporting13
Clients43,BelongsTo,Clients2
Coordinator43,CoachedBy,Analyst25
Person44,Owns,Manager44
Manager44,FunctionOf,SALES
Person44,AccountableFor,Enhance Customer Satisfaction44
Person44,ResponsibleFor,New Product Launch44
Person44,Attends,Annual Conference44
Person44,MemberOf,Development44
Person44,ParticipatesIn,Supply Chain44
Person44,Follows,Code Review44
Person44,Maintains,Risk Assessment44
Person44,InterfacesWith,Project Management Tool44
Person44,InteractsWith,Vendors44
Person44,ContributesTo,Increase Sales44
Person44,Requires,Leadership
Person44,MentoredBy,Manager46
Person44,ReportsTo,Coordinator50
Person44,Has,Creativity
Quality Assurance44,ProcessOf,Supply Chain44
Improve Efficiency44,Supports,Increase Sales2
Higher Revenue44,Enables,Increase Sales44
Marketing Campaign44,Sub,Customer Onboarding47
Partners44,BelongsTo,Vendors2
Coordinator44,CoachedBy,Representative12
Person45,Owns,Director45
Director45,FunctionOf,SALES
Person45,AccountableFor,Enhance Customer Satisfaction45
Person45,ResponsibleFor,New Product Launch45
Person45,Attends,Quarterly Strategy45
Person45,MemberOf,Project45
Person45,ParticipatesIn,Customer Onboarding45
Person45,Follows,Risk Assessment45
Person45,Maintains,Quality Assurance45
Person45,InterfacesWith,CRM45
Person45,InteractsWith,Partners45
Person45,ContributesTo,Reduce Costs45
Person45,Requires,Problem Solving
Person45,MentoredBy,Specialist12
Person45,ReportsTo,Coordinator6
Person45,Has,Creativity
Code Review45,ProcessOf,Agile Development45
Improve Efficiency45,Supports,Reduce Costs21
Cost Savings45,Enables,Increase Sales45
Agile Development45,Sub,Supply Chain8
Shareholders45,BelongsTo,Clients13
Coordinator45,CoachedBy,Representative9
Person46,Owns,Manager46
Manager46,FunctionOf,GA
Person46,AccountableFor,Increase Sales46
Person46,ResponsibleFor,Increased Productivity46
Person46,Attends,Weekly Review46
Person46,MemberOf,Support46
Person46,ParticipatesIn,Supply Chain46
Person46,Follows,Risk Assessment46
Person46,Maintains,Budget Approval46
Person46,InterfacesWith,ERP46
Person46,InteractsWith,Partners46
Person46,ContributesTo,Increase Sales46
Person46,Requires,Communication
Person46,MentoredBy,Coordinator35
Person46,ReportsTo,Manager30
Person46,Has,Communication
Quality Assurance46,ProcessOf,Customer Onboarding46
Increase Sales46,Supports,Reduce Costs50
Better Customer Ratings46,Enables,Innovate Products46
Supply Chain46,Sub,Marketing Campaign5
Regulators46,BelongsTo,Vendors17
Analyst46,CoachedBy,Representative14
Person47,Owns,Director47
Director47,FunctionOf,ENGINEERING
Person47,AccountableFor,Enhance Customer Satisfaction47
Person47,ResponsibleFor,Cost Savings47
Person47,Attends,Monthly Planning47
Person47,MemberOf,Support47
Person47,ParticipatesIn,Supply Chain47
Person47,Follows,Risk Assessment47
Person47,Maintains,Budget Approval47
Person47,InterfacesWith,ERP47
Person47,InteractsWith,Shareholders47
Person47,ContributesTo,Increase Sales47
Person47,Requires,Analysis
Person47,MentoredBy,Director10
Person47,ReportsTo,Analyst25
Person47,Has,Creativity
Code Review47,ProcessOf,Supply Chain47
Enhance Customer Satisfaction47,Supports,Innovate Products4
Cost Savings47,Enables,Increase Sales47
Supply Chain47,Sub,Marketing Campaign25
Vendors47,BelongsTo,Partners14
Engineer47,CoachedBy,Analyst14
Person48,Owns,Coordinator48
Coordinator48,FunctionOf,GA
Person48,AccountableFor,Increase Sales48
Person48,ResponsibleFor,Higher Revenue48
Person48,Attends,Annual Conference48
Person48,MemberOf,Development48
Person48,ParticipatesIn,Supply Chain48
Person48,Follows,Budget Approval48
Person48,Maintains,Risk Assessment48
Person48,InterfacesWith,HRIS48
Person48,InteractsWith,Shareholders48
Person48,ContributesTo,Enhance Customer Satisfaction48
Person48,Requires,Analysis
Person48,MentoredBy,Manager36
Person48,ReportsTo,Manager3
Person48,Has,Teamwork
Quality Assurance48,ProcessOf,Customer Onboarding48
Increase Sales48,Supports,Increase Sales8
Higher Revenue48,Enables,Enhance Customer Satisfaction48
Marketing Campaign48,Sub,Customer Onboarding50
Vendors48,BelongsTo,Clients19
Coordinator48,CoachedBy,Analyst34
Person49,Owns,Analyst49
Analyst49,FunctionOf,ENGINEERING
Person49,AccountableFor,Improve Efficiency49
Person49,ResponsibleFor,Increased Productivity49
Person49,Attends,Daily Standup49
Person49,MemberOf,Innovation49
Person49,ParticipatesIn,Marketing Campaign49
Person49,Follows,Risk Assessment49
Person49,Maintains,Budget Approval49
Person49,InterfacesWith,ERP49
Person49,InteractsWith,Vendors49
Person49,ContributesTo,Improve Efficiency49
Person49,Requires,Leadership
Person49,MentoredBy,Manager22
Person49,ReportsTo,Analyst8
Person49,Has,Programming
Code Review49,ProcessOf,Marketing Campaign49
Reduce Costs49,Supports,Enhance Customer Satisfaction16
Better Customer Ratings49,Enables,Increase Sales49
Customer Onboarding49,Sub,Marketing Campaign21
Shareholders49,BelongsTo,Partners31
Specialist49,CoachedBy,Coordinator4
Person50,Owns,Engineer50
Engineer50,FunctionOf,SALES
Person50,AccountableFor,Improve Efficiency50
Person50,ResponsibleFor,Increased Productivity50
Person50,Attends,Daily Standup50
Person50,MemberOf,Development50
Person50,ParticipatesIn,Financial Reporting50
Person50,Follows,Code Review50
Person50,Maintains,Budget Approval50
Person50,InterfacesWith,CRM50
Person50,InteractsWith,Partners50
Person50,ContributesTo,Increase Sales50
Person50,Requires,Problem Solving
Person50,MentoredBy,Coordinator16
Person50,ReportsTo,Analyst16
Person50,Has,Teamwork
Code Review50,ProcessOf,Agile Development50
Enhance Customer Satisfaction50,Supports,Improve Efficiency47
Higher Revenue50,Enables,Innovate Products50
Financial Reporting50,Sub,Marketing Campaign23
Clients50,BelongsTo,Shareholders11
Representative50,CoachedBy,Coordinator5
